ID,AmountRain,StrongWindDir,StrongWindSpeed,MorningWindDir,AfternoonWindDir,AfternoonWindSpeed,MorningHumidity,AfternoonHumidity,MorningTemp,AfternoonTemp,DidRainToday,DaysSinceNewYear,TomorrowRainForecast
5969,0.0,ENE,44.0,NNE,NE,20.0,35.0,18.0,29.0,36.9,No,30,0
4053,0.0,E,31.0,SW,E,11.0,87.0,60.0,21.9,27.5,No,18,0
6158,0.0,ESE,24.0,SSE,ESE,7.0,48.0,27.0,8.3,15.6,No,219,0
5608,0.0,W,56.0,WNW,NW,35.0,48.0,32.0,15.9,18.0,No,193,0
6255,0.0,E,37.0,NE,E,9.0,43.0,16.0,25.2,35.2,No,317,0
2638,0.2,E,17.0,,SE,6.0,88.0,59.0,4.0,13.4,No,164,0
4167,0.0,WSW,59.0,W,W,31.0,51.0,47.0,13.5,15.7,No,133,0
5895,0.0,NE,28.0,,NNE,15.0,90.0,63.0,15.0,19.9,No,132,0
6239,0.2,N,44.0,ENE,NNE,19.0,64.0,30.0,21.6,30.4,No,301,0
1981,0.0,SSE,15.0,SE,SSE,7.0,77.0,46.0,9.2,17.8,No,233,0
4093,6.2,S,22.0,SW,SW,13.0,97.0,96.0,19.7,20.6,Yes,59,1
2397,0.0,SSE,22.0,SSE,S,15.0,79.0,52.0,18.2,25.8,No,288,0
573,0.2,SE,22.0,SSE,,0.0,99.0,70.0,2.4,11.7,No,185,1
4698,0.0,S,41.0,S,SE,20.0,55.0,37.0,22.0,24.1,No,362,0
837,0.0,S,19.0,,S,7.0,69.0,47.0,13.9,22.4,No,85,0
3396,0.4,NNE,54.0,E,,,79.0,,23.9,,No,30,0
3156,0.0,NE,17.0,,N,7.0,99.0,60.0,12.5,19.7,No,145,0
5317,0.2,ESE,22.0,WSW,E,11.0,70.0,70.0,16.1,17.9,No,262,0
6022,0.0,NNW,44.0,NNE,N,20.0,29.0,14.0,25.7,35.6,No,83,0
3017,0.0,W,63.0,N,WNW,30.0,69.0,19.0,23.3,39.8,No,6,0
6161,0.0,NW,44.0,W,NW,20.0,55.0,29.0,12.8,18.2,No,222,0
23,0.0,W,43.0,E,W,19.0,49.0,17.0,21.5,31.2,No,359,0
775,0.0,WSW,35.0,,W,15.0,68.0,29.0,22.2,30.4,No,23,0
6251,0.0,SSE,43.0,N,SSW,11.0,46.0,20.0,24.1,32.9,No,313,0
4106,0.0,ENE,26.0,SW,NNE,11.0,92.0,51.0,18.1,26.5,No,72,0
3307,0.2,E,33.0,SW,ENE,15.0,79.0,60.0,17.9,22.0,No,301,0
82,0.0,NW,31.0,S,WNW,15.0,49.0,23.0,20.9,31.3,No,52,0
4104,0.0,ENE,26.0,,NE,9.0,74.0,54.0,18.9,26.3,No,70,0
2523,0.0,WSW,44.0,ESE,NW,20.0,64.0,24.0,19.9,31.1,No,49,0
2350,0.2,W,19.0,,WSW,9.0,79.0,49.0,8.8,15.0,No,241,0
6371,0.0,S,33.0,S,SSW,17.0,64.0,31.0,16.0,21.5,No,68,0
4873,0.0,W,69.0,NW,WNW,30.0,47.0,43.0,11.5,14.9,No,179,0
4438,3.0,N,24.0,,NNE,11.0,88.0,49.0,17.2,24.1,Yes,99,0
3961,0.0,ENE,30.0,SW,E,7.0,64.0,44.0,14.2,20.4,No,289,0
2378,0.0,W,28.0,E,W,15.0,71.0,50.0,13.5,20.7,No,269,0
6260,0.0,WSW,44.0,NNW,W,20.0,16.0,6.0,31.1,43.4,No,322,0
980,1.0,W,61.0,WNW,W,22.0,73.0,70.0,12.2,12.9,No,262,1
5214,0.0,NW,37.0,,NW,17.0,100.0,45.0,10.1,21.3,No,158,0
4532,0.2,WSW,9.0,,NNW,2.0,100.0,69.0,8.5,15.5,No,193,0
1303,11.2,SW,65.0,W,WSW,19.0,87.0,82.0,8.7,7.0,Yes,221,0
4414,0.0,SW,43.0,SSW,SSE,15.0,62.0,34.0,19.0,23.0,No,75,0
5507,0.0,S,30.0,,S,9.0,100.0,25.0,16.4,30.0,No,92,0
658,0.0,W,39.0,W,W,26.0,66.0,43.0,9.4,13.9,No,271,0
5510,0.0,ENE,28.0,,NNE,15.0,100.0,43.0,18.4,30.7,No,95,0
6727,0.8,SW,41.0,SSW,SSW,22.0,49.0,39.0,26.7,29.2,No,59,0
2061,0.0,SW,52.0,S,SW,31.0,47.0,15.0,23.5,33.4,No,317,0
2159,0.2,S,30.0,ESE,SSW,11.0,67.0,29.0,23.7,32.3,No,50,0
868,0.0,W,17.0,NE,WSW,11.0,99.0,65.0,6.1,12.8,No,146,0
6143,0.0,ESE,20.0,E,ENE,4.0,75.0,38.0,8.0,14.8,No,204,0
5086,0.0,ESE,30.0,,WNW,4.0,67.0,42.0,18.8,26.5,No,30,0
4503,0.0,W,41.0,S,WSW,17.0,98.0,55.0,11.0,16.5,No,164,0
2200,0.0,WNW,37.0,NE,WNW,26.0,57.0,23.0,21.3,24.2,No,91,0
3399,,ENE,43.0,,ENE,24.0,,69.0,,27.1,,34,1
6413,0.0,NE,26.0,NE,NE,9.0,61.0,32.0,21.1,27.9,No,110,0
1712,0.0,ESE,48.0,SSE,SE,24.0,50.0,30.0,19.4,25.2,No,328,0
6872,0.0,NW,26.0,NE,SSE,7.0,32.0,16.0,17.6,24.9,No,237,0
1157,19.2,SW,46.0,NNW,WNW,17.0,93.0,93.0,19.8,16.9,Yes,75,1
4895,0.0,E,17.0,SW,NE,2.0,84.0,48.0,8.7,16.5,No,201,0
2495,0.0,NNW,39.0,SSE,W,2.0,67.0,89.0,24.2,21.7,No,21,1
2,0.0,WSW,46.0,W,WSW,26.0,38.0,30.0,21.0,23.2,No,337,0
4407,0.0,ENE,28.0,,ENE,9.0,88.0,48.0,19.7,28.1,No,68,0
91,0.0,WNW,52.0,NE,NNE,26.0,58.0,35.0,23.0,29.2,No,61,0
1040,0.0,W,44.0,WNW,WNW,24.0,92.0,44.0,17.5,20.7,No,323,0
5981,0.0,S,37.0,S,SE,13.0,44.0,25.0,17.4,28.4,No,42,0
1749,0.0,WNW,43.0,SSE,ENE,20.0,56.0,38.0,20.3,25.9,No,0,0
5751,0.0,E,33.0,N,ENE,17.0,70.0,48.0,18.6,24.2,No,353,0
674,22.2,WNW,63.0,NNW,NE,4.0,93.0,90.0,18.5,17.1,Yes,287,1
2959,0.0,SE,19.0,ESE,SE,13.0,80.0,62.0,9.9,18.3,No,124,0
3969,0.8,S,33.0,ESE,S,15.0,100.0,100.0,17.9,15.7,No,297,1
6631,0.0,NE,46.0,NNE,N,15.0,49.0,38.0,23.2,28.2,No,328,0
1767,0.0,NW,37.0,S,W,19.0,50.0,21.0,26.5,36.4,No,18,0
5005,0.0,E,31.0,SE,E,15.0,73.0,65.0,19.9,22.0,No,313,0
990,8.2,NW,48.0,NW,NNW,20.0,84.0,59.0,10.1,15.1,Yes,272,1
2226,0.0,SSE,22.0,,NE,6.0,77.0,38.0,11.1,17.8,No,117,0
4448,4.6,SW,46.0,SW,S,19.0,89.0,69.0,13.9,18.0,Yes,109,1
5341,3.6,NE,28.0,S,ENE,17.0,83.0,59.0,19.5,24.5,Yes,286,0
2030,3.2,ESE,41.0,WSW,S,17.0,87.0,61.0,9.6,13.9,Yes,286,0
1015,0.0,N,28.0,E,SE,9.0,57.0,46.0,16.2,21.9,No,298,0
3204,0.0,N,19.0,SW,WNW,6.0,99.0,52.0,4.7,14.8,No,195,0
3184,0.6,W,24.0,,W,2.0,100.0,58.0,6.0,14.7,No,175,0
5006,0.0,ESE,28.0,SE,ESE,19.0,65.0,74.0,19.0,18.4,No,314,0
6871,0.0,W,31.0,NNE,WSW,7.0,49.0,17.0,16.4,24.5,No,236,0
4655,3.0,SSE,43.0,S,SE,20.0,77.0,55.0,17.0,21.4,Yes,319,1
2765,0.8,NNW,46.0,NNW,WSW,22.0,82.0,76.0,11.3,14.7,No,291,1
4951,0.0,E,28.0,NNW,SE,6.0,71.0,43.0,16.9,21.6,No,257,0
5609,0.0,WSW,59.0,W,W,30.0,44.0,35.0,10.5,12.9,No,194,0
3916,0.0,SW,28.0,SSW,ESE,11.0,62.0,54.0,14.4,16.1,No,244,0
1954,0.2,NW,20.0,S,WNW,9.0,100.0,77.0,6.7,13.2,No,206,0
1681,0.0,WNW,35.0,WNW,WNW,26.0,64.0,45.0,10.0,15.7,No,297,0
4462,0.0,SE,39.0,NE,SE,24.0,76.0,63.0,14.9,19.8,No,123,0
6057,0.0,SW,33.0,SSE,SW,11.0,57.0,34.0,11.4,16.4,No,118,0
1934,0.0,WNW,33.0,NW,W,19.0,94.0,89.0,7.5,8.9,No,186,0
1613,3.8,N,44.0,WSW,NW,15.0,78.0,58.0,10.4,14.0,Yes,228,0
4674,3.6,W,93.0,WSW,W,56.0,71.0,63.0,19.3,14.0,Yes,338,0
163,0.0,WNW,35.0,WNW,WNW,19.0,77.0,59.0,10.3,15.3,No,133,0
5465,0.0,SSW,65.0,SSW,ESE,17.0,79.0,63.0,23.0,27.1,No,50,1
2840,0.0,WSW,39.0,E,W,24.0,63.0,25.0,23.4,31.4,No,0,0
6613,0.0,ENE,43.0,NE,NW,11.0,55.0,21.0,20.2,30.7,No,310,0
1512,0.0,SSE,17.0,SSE,E,9.0,66.0,35.0,9.3,16.3,No,124,0
2299,1.8,NE,24.0,SE,NNE,13.0,94.0,69.0,9.0,13.0,Yes,190,1
655,0.0,WSW,24.0,,WNW,13.0,75.0,43.0,13.2,20.1,No,268,0
911,4.2,WNW,28.0,WNW,WNW,19.0,94.0,87.0,7.4,8.1,Yes,189,0
4707,0.0,SE,31.0,SSE,SE,15.0,59.0,48.0,18.4,21.2,No,6,0
529,0.0,ESE,22.0,,SSE,7.0,76.0,45.0,6.3,16.1,No,141,0
5837,17.0,SW,48.0,E,SE,13.0,100.0,100.0,21.7,23.8,Yes,74,1
521,0.2,SE,15.0,E,SE,7.0,99.0,46.0,5.7,17.1,No,133,0
5119,0.0,SW,46.0,NW,SW,17.0,51.0,27.0,22.5,27.0,No,63,0
4480,0.0,WSW,19.0,SSE,SW,9.0,81.0,74.0,10.6,13.6,No,141,1
2177,0.0,NNW,33.0,ESE,WSW,17.0,65.0,19.0,17.1,28.9,No,68,0
4999,0.0,E,37.0,NNE,NNE,11.0,70.0,44.0,18.0,25.8,No,307,0
3330,0.4,E,33.0,WSW,E,17.0,45.0,30.0,26.6,34.6,No,324,0
2453,0.0,W,57.0,WNW,W,33.0,48.0,22.0,20.7,25.9,No,344,0
3990,11.0,SE,13.0,,ESE,6.0,100.0,100.0,16.0,17.0,Yes,320,1
5577,0.0,W,41.0,NNW,WSW,19.0,64.0,43.0,13.6,18.5,No,162,0
228,0.0,N,20.0,,N,11.0,98.0,64.0,3.2,11.2,No,198,0
454,5.8,SE,39.0,NW,E,13.0,89.0,82.0,19.0,21.1,Yes,65,1
6657,0.0,WSW,33.0,SSE,WNW,11.0,45.0,26.0,17.4,24.8,No,354,0
1341,0.0,WSW,26.0,E,WNW,17.0,88.0,56.0,10.5,16.3,No,259,0
4159,0.0,WSW,26.0,SW,SW,11.0,70.0,52.0,14.3,19.9,No,125,0
6121,0.0,W,41.0,WNW,W,20.0,59.0,50.0,10.4,14.9,No,182,0
2333,5.4,WSW,33.0,WSW,W,15.0,90.0,78.0,7.5,11.0,Yes,224,0
191,0.0,SE,13.0,,ESE,6.0,84.0,72.0,2.2,8.8,No,161,0
2281,0.0,E,13.0,,ESE,7.0,99.0,74.0,3.7,10.6,No,172,0
5865,0.0,SE,28.0,SSW,S,11.0,64.0,55.0,18.6,21.1,No,102,0
6208,0.0,WSW,39.0,S,WSW,13.0,41.0,22.0,11.0,18.2,No,270,0
1655,0.0,WNW,59.0,WNW,W,31.0,64.0,46.0,12.8,15.3,No,270,0
5136,1.4,NE,26.0,SW,NE,9.0,100.0,65.0,17.7,23.1,Yes,80,0
4634,0.0,ESE,37.0,SW,ENE,9.0,36.0,21.0,16.6,24.4,No,298,0
1195,8.2,WSW,39.0,,NNW,19.0,95.0,42.0,16.9,22.4,Yes,113,0
6363,0.0,ESE,50.0,ESE,ESE,20.0,58.0,30.0,18.5,26.2,No,60,0
2543,0.0,N,41.0,SE,SE,9.0,54.0,27.0,26.1,35.5,No,69,0
1518,4.6,N,22.0,,NNW,15.0,100.0,82.0,6.1,11.2,Yes,133,1
504,0.0,ENE,17.0,,ENE,7.0,84.0,58.0,9.7,15.9,No,116,1
1272,0.0,E,24.0,,SE,9.0,95.0,60.0,5.2,14.3,No,190,1
6595,0.0,E,24.0,ESE,SE,6.0,63.0,27.0,15.9,25.0,No,292,0
1081,0.0,WSW,31.0,E,W,24.0,54.0,36.0,22.6,29.3,No,364,0
5839,12.2,SSW,48.0,S,SSE,11.0,100.0,100.0,20.9,22.1,Yes,76,1
5436,17.6,N,17.0,NNE,N,7.0,100.0,89.0,23.1,25.2,Yes,21,1
3519,3.6,NNE,26.0,,NNE,15.0,100.0,56.0,10.4,17.6,Yes,174,0
5051,22.0,ESE,44.0,SW,SE,7.0,62.0,26.0,24.5,29.9,Yes,359,0
2771,0.0,SSW,28.0,SSE,WSW,13.0,67.0,44.0,10.8,18.2,No,297,0
3463,0.0,E,28.0,WSW,ESE,17.0,78.0,59.0,19.7,23.8,No,106,0
3931,0.0,NE,20.0,W,NE,9.0,51.0,32.0,18.7,27.4,No,259,0
1720,0.0,W,44.0,SSE,NW,30.0,47.0,15.0,25.8,34.8,No,336,0
2415,0.2,WSW,41.0,SE,NW,15.0,65.0,35.0,18.2,26.1,No,306,0
4638,0.0,E,31.0,SW,E,20.0,51.0,40.0,16.6,22.5,No,302,0
1471,0.0,NW,31.0,,W,13.0,76.0,34.0,14.9,27.3,No,83,0
1685,0.0,SSE,46.0,SE,SSE,17.0,54.0,48.0,17.9,19.9,No,301,0
4759,1.8,S,20.0,SW,SSW,9.0,93.0,73.0,17.5,19.5,Yes,58,1
2615,0.0,SE,13.0,,ESE,7.0,91.0,64.0,9.4,16.6,No,141,0
446,0.0,NNW,22.0,ESE,ESE,7.0,61.0,33.0,19.5,29.3,No,55,0
3572,0.0,W,35.0,NNW,W,19.0,45.0,31.0,14.6,17.2,No,231,0
1814,0.0,SSW,30.0,,WNW,17.0,60.0,22.0,16.5,28.0,No,65,0
5062,0.0,ESE,33.0,S,ENE,20.0,79.0,56.0,23.1,28.5,No,5,0
2410,0.0,SE,22.0,ESE,SSE,15.0,55.0,22.0,18.5,27.2,No,301,0
1088,0.0,NNE,31.0,ENE,NE,9.0,47.0,19.0,21.6,30.7,No,6,1
2817,1.0,W,46.0,WSW,SW,28.0,54.0,37.0,14.0,19.4,No,343,0
4225,0.0,NE,9.0,N,,0.0,100.0,83.0,6.8,13.4,No,191,1
5496,1.4,SSW,43.0,SW,SSW,19.0,68.0,47.0,18.0,24.9,Yes,81,0
5484,0.0,ESE,26.0,SW,ESE,15.0,87.0,56.0,24.1,31.3,No,69,0
1875,0.0,SE,33.0,S,SSE,11.0,77.0,45.0,8.8,15.9,No,126,0
6163,0.0,SW,28.0,ENE,WSW,13.0,53.0,38.0,14.0,17.0,No,224,0
3533,1.6,ESE,28.0,SW,SE,11.0,91.0,65.0,10.9,16.0,Yes,189,0
4555,0.0,W,39.0,N,W,22.0,68.0,39.0,11.9,18.5,No,216,0
1826,0.0,SSW,28.0,,SE,13.0,70.0,25.0,16.5,27.4,No,77,0
3641,0.2,ENE,39.0,N,ENE,19.0,81.0,53.0,17.6,28.5,No,302,0
3459,0.0,E,26.0,SW,E,11.0,54.0,46.0,17.0,21.8,No,102,0
3815,3.0,WNW,56.0,N,NW,26.0,92.0,41.0,15.1,20.5,Yes,142,0
4234,0.0,SSE,37.0,SW,SSE,9.0,70.0,51.0,10.5,14.9,No,200,0
6337,36.0,N,57.0,NE,ENE,19.0,99.0,53.0,19.8,29.3,Yes,34,1
2860,2.6,SE,24.0,S,S,11.0,64.0,34.0,17.6,26.7,Yes,20,0
4335,0.0,E,31.0,NNW,NE,19.0,61.0,37.0,18.9,26.4,No,303,0
2334,0.0,ENE,13.0,ENE,NE,7.0,93.0,75.0,8.6,12.5,No,225,0
4960,0.0,N,22.0,W,NE,11.0,76.0,34.0,16.1,25.4,No,266,0
707,0.0,W,43.0,E,W,17.0,65.0,34.0,15.6,22.0,No,320,0
4444,21.0,SSE,24.0,SW,SSE,13.0,98.0,71.0,15.7,19.6,Yes,105,0
5334,0.0,SE,35.0,SSE,SSE,19.0,74.0,66.0,18.6,17.4,No,279,0
5906,3.2,SW,48.0,WNW,W,22.0,98.0,40.0,15.2,20.7,Yes,143,0
5907,0.0,SW,15.0,,NNE,6.0,75.0,45.0,13.1,19.6,No,144,0
1479,0.0,WNW,30.0,SSE,WSW,17.0,83.0,49.0,12.1,22.4,No,91,0
1024,0.0,SW,24.0,ESE,ESE,11.0,57.0,36.0,16.0,24.5,No,307,0
2209,0.0,W,19.0,SE,WSW,4.0,66.0,42.0,16.0,22.2,No,100,0
3058,0.8,ESE,28.0,SW,SE,17.0,91.0,61.0,18.1,21.1,No,47,1
4581,,N,22.0,NW,ENE,7.0,75.0,46.0,15.1,22.9,,245,0
1327,0.0,WSW,24.0,ESE,WSW,19.0,83.0,45.0,7.9,15.2,No,245,0
4372,0.0,E,35.0,WSW,SE,19.0,75.0,39.0,23.3,32.6,No,5,0
4318,18.4,ESE,28.0,SW,ESE,19.0,73.0,42.0,12.9,19.4,Yes,286,0
3546,0.0,S,30.0,SW,,,68.0,,11.5,,No,203,0
5626,0.0,NNE,20.0,,N,9.0,79.0,52.0,10.3,18.3,No,211,0
5541,0.0,WNW,19.0,W,N,11.0,69.0,32.0,17.7,25.9,No,126,0
2345,15.2,SSE,35.0,SSW,S,11.0,87.0,91.0,10.1,9.7,Yes,236,1
3678,0.8,N,43.0,ENE,SW,11.0,79.0,97.0,23.4,20.8,No,339,1
1261,0.0,ENE,15.0,,SE,7.0,100.0,74.0,5.5,11.8,No,179,1
6388,0.0,NW,22.0,NE,WNW,7.0,38.0,20.0,24.2,33.0,No,85,0
1006,0.0,W,22.0,S,ESE,7.0,64.0,29.0,10.2,18.3,No,289,0
5931,0.0,S,39.0,SW,S,19.0,81.0,56.0,14.0,16.7,No,168,0
3975,0.2,E,31.0,SSW,E,17.0,55.0,51.0,17.9,21.1,No,303,0
4121,0.0,ENE,20.0,WSW,NNE,7.0,98.0,66.0,18.3,22.6,No,87,1
5014,0.0,E,37.0,ENE,NE,13.0,73.0,49.0,20.0,26.2,No,322,0
2867,0.0,WNW,39.0,SE,W,17.0,64.0,14.0,23.6,35.7,No,27,0
1503,0.0,W,26.0,,W,13.0,79.0,53.0,13.2,20.5,No,115,0
4847,0.0,NNE,19.0,S,ENE,11.0,100.0,69.0,14.2,19.0,No,150,1
3086,0.0,NE,31.0,,NNE,7.0,63.0,32.0,16.7,25.1,No,75,0
2224,2.6,W,37.0,NE,WNW,24.0,100.0,48.0,9.2,18.9,Yes,115,0
946,0.0,ESE,13.0,,E,7.0,91.0,65.0,5.8,13.0,No,224,0
2808,0.0,WNW,43.0,SE,NW,22.0,56.0,14.0,22.0,31.0,No,334,0
458,0.0,NNE,20.0,S,W,4.0,72.0,40.0,14.2,24.1,No,70,0
1415,0.0,NW,43.0,ENE,WSW,13.0,53.0,46.0,29.5,31.1,No,334,0
1028,0.0,WNW,39.0,SSE,WSW,13.0,72.0,43.0,22.7,28.8,No,311,0
6433,0.0,SW,37.0,WSW,SW,17.0,27.0,38.0,19.7,19.8,No,130,0
3847,0.0,W,22.0,NNE,SW,7.0,90.0,48.0,8.5,17.1,No,174,0
6905,0.0,WNW,54.0,NNE,NNE,9.0,34.0,83.0,22.0,18.4,No,270,1
954,0.0,SW,20.0,ESE,SW,11.0,79.0,46.0,8.9,17.4,No,232,0
1097,0.0,ENE,39.0,ENE,NE,20.0,48.0,30.0,23.5,29.3,No,15,0
1763,0.0,SSE,28.0,SSE,SSW,11.0,47.0,15.0,28.7,40.6,No,14,0
4693,0.0,ESE,24.0,SSE,ESE,13.0,67.0,65.0,19.6,20.3,No,357,0
5418,0.0,E,35.0,S,ENE,20.0,89.0,92.0,19.6,19.3,No,3,0
2572,0.0,W,17.0,,WSW,9.0,66.0,64.0,13.7,16.7,No,98,0
1909,0.0,SSE,13.0,,SE,9.0,100.0,70.0,6.7,14.8,No,161,0
3611,0.0,SW,43.0,SW,SE,20.0,44.0,52.0,15.3,14.6,No,271,0
5393,0.0,ENE,30.0,NE,ENE,15.0,75.0,57.0,22.4,28.9,No,343,0
3119,0.0,S,44.0,SW,SSW,20.0,67.0,84.0,18.3,17.8,No,108,1
1939,0.4,WNW,28.0,W,NW,13.0,91.0,86.0,7.7,9.9,No,191,1
1431,0.0,NW,35.0,S,SSW,9.0,51.0,12.0,21.8,34.2,No,15,0
388,0.0,N,33.0,SSE,NW,7.0,56.0,34.0,20.0,29.4,No,359,0
1853,0.0,SSE,50.0,S,S,11.0,63.0,41.0,13.7,21.1,No,104,0
4995,,,,,ENE,6.0,55.0,14.0,21.0,35.1,,303,0
4264,0.0,W,50.0,SW,WSW,26.0,48.0,42.0,13.0,17.3,No,230,0
860,0.0,S,13.0,,SSE,6.0,91.0,55.0,6.6,15.9,No,138,0
716,4.0,WSW,39.0,NNW,ENE,9.0,92.0,68.0,18.5,23.6,Yes,329,1
6877,0.0,SW,28.0,SE,SSW,11.0,39.0,15.0,12.8,19.5,No,242,0
4211,0.0,SSW,20.0,SW,SSW,6.0,90.0,87.0,10.4,11.6,No,177,0
3957,0.0,ENE,28.0,SSE,NE,11.0,77.0,56.0,16.2,20.4,No,285,0
6,0.0,W,50.0,SW,W,24.0,49.0,19.0,18.1,24.6,No,341,0
22,0.0,N,33.0,ESE,NW,13.0,55.0,23.0,20.9,29.0,No,358,0
6653,0.0,NW,33.0,W,NW,17.0,62.0,43.0,18.3,22.6,No,350,0
4382,0.0,ESE,39.0,SW,E,22.0,69.0,33.0,22.2,33.5,No,15,0
3472,0.0,N,19.0,NNE,WNW,6.0,96.0,54.0,11.2,17.6,No,116,0
6352,0.0,E,41.0,ENE,ENE,9.0,54.0,39.0,20.7,28.7,No,49,0
4972,0.0,E,26.0,N,NNE,9.0,73.0,41.0,18.5,28.6,No,278,0
2913,0.0,SE,35.0,SE,SSE,20.0,55.0,30.0,21.3,30.0,No,75,0
136,0.0,WNW,26.0,ENE,W,11.0,59.0,39.0,12.6,21.6,No,106,0
5884,0.0,SSW,30.0,NW,SSW,11.0,62.0,44.0,19.6,20.6,No,121,0
6181,0.0,WNW,35.0,WSW,WSW,9.0,44.0,31.0,11.9,17.8,No,242,0
6452,4.6,SW,39.0,WSW,W,11.0,98.0,83.0,11.2,13.2,Yes,149,1
2238,2.8,WNW,72.0,NW,WNW,30.0,87.0,83.0,10.6,12.6,Yes,129,1
3362,0.0,ENE,44.0,NNE,E,28.0,46.0,27.0,26.3,33.5,No,357,0
562,0.0,ENE,24.0,E,E,17.0,85.0,56.0,8.3,16.9,No,174,0
5776,0.0,W,37.0,WSW,N,9.0,55.0,20.0,29.7,37.8,No,13,0
3866,0.0,WSW,28.0,WSW,SW,7.0,86.0,67.0,5.3,9.2,No,193,0
